Date,Symbol,RV_1min,RS_pos_1min,RS_neg_1min,SignedJump_1min,BPV_1min,BPV_c_1min,MedRV_1min,RQ_1min,TQ_1min,RSkew_1min,RKurt_1min,NBars_1min,NZeroRet_1min,MaxAbsRet_1min,RV_5min,RS_pos_5min,RS_neg_5min,SignedJump_5min,BPV_5min,BPV_c_5min,MedRV_5min,RQ_5min,TQ_5min,RSkew_5min,RKurt_5min,NBars_5min,NZeroRet_5min,MaxAbsRet_5min,RV_ss5min,Jump_BPV_5min,Jump_MedRV_5min,ContVar_MedRV_5min,JumpShare_5min,RSV_Ratio_5min,RV_SE_5min,RV_RelSE_5min,NoiseRatio_1v5
2011-09-20,NKY,2.88544302178e-05,1.16796387468e-05,1.7174791471e-05,-5.49515272424e-06,2.28307311763e-05,2.29666283856e-05,2.30408954671e-05,1.14376645076e-09,6.37884183943e-10,-0.529853407074,4.12129405551,169,1,0.00143486094846,3.49559344632e-05,1.25325694743e-05,2.24233649889e-05,-9.89079551467e-06,3.26760774274e-05,3.34730549257e-05,3.37344427903e-05,1.19272728947e-09,7.7128202558e-10,-0.623222678891,2.92833378307,42,0,0.00220496883987,3.49559344632e-05,1.48287953754e-06,1.22149167286e-06,3.37344427903e-05,0.0349437568073,0.641475198225,7.53634776226e-06,0.215595660022,0.825451548095
2011-09-21,NKY,4.53651454589e-05,2.66179447677e-05,1.87472006912e-05,7.87074407645e-06,3.3572553761e-05,3.3697824484e-05,3.03326352554e-05,8.05918392583e-09,1.66510276005e-09,1.18309275381,11.7481019467,269,0,0.00283706971666,5.27048002497e-05,3.0731805849e-05,2.19729944007e-05,8.75881144822e-06,4.64013824926e-05,4.72768802755e-05,4.18573766449e-05,5.48056509032e-09,2.44014182653e-09,0.698716250671,5.91897153438,54,0,0.00381866572877,5.27048002497e-05,5.42791997419e-06,1.08474236048e-05,4.18573766449e-05,0.205814718079,0.41690689077,1.42472415658e-05,0.270321517173,0.860740297734
2011-09-22,NKY,5.46397155992e-05,1.55557200802e-05,3.9083995519e-05,-2.35282754387e-05,3.29211528714e-05,3.30528374829e-05,2.93704028953e-05,3.7099382732e-08,1.75629956123e-09,-3.79918230902,37.2795857784,251,0,0.00454141433582,6.16252064394e-05,1.3705428382e-05,4.79197780574e-05,-3.42143496754e-05,4.04655174724e-05,4.12290178021e-05,3.92966299627e-05,1.23924171026e-08,1.38784628549e-09,-2.19528202261,9.78949982307,54,0,0.00495975739958,6.13459973111e-05,2.03961886373e-05,2.23285764767e-05,3.92966299627e-05,0.362328627632,0.777600284464,2.14237814404e-05,0.347646404421,0.886645558793
2012-02-06,NKY,1.56281922133e-05,8.0686518736e-06,7.55954033967e-06,5.09111533936e-07,1.44088251692e-05,1.44571769315e-05,1.32049943829e-05,5.17844067564e-10,5.63448608331e-10,0.322223413827,6.36066864654,299,1,0.00089951506096,1.695371202e-05,8.49721752246e-06,8.45649449752e-06,4.07230249393e-08,1.08676919268e-05,1.10550659256e-05,9.59972204844e-06,6.41059836666e-10,9.39527605079e-11,0.456694399195,6.690987516,59,0,0.00211663032354,1.695371202e-05,5.89864609441e-06,7.35398997153e-06,9.59972204844e-06,0.433768720553,0.498798993846,4.66163511237e-06,0.274962504193,0.921815363789
2012-02-07,NKY,1.54789684669e-05,8.72091426543e-06,6.75805420151e-06,1.96286006392e-06,1.30498473365e-05,1.30939346586e-05,1.22461358154e-05,5.30359838964e-10,3.12211625778e-10,0.441265099122,6.64060814504,297,1,0.00102316834322,2.22492421343e-05,1.27363294298e-05,9.51291270446e-06,3.22341672534e-06,1.72388754062e-05,1.7536097396e-05,1.73588963469e-05,6.76207028711e-10,2.51982089983e-10,0.304068031652,4.09798619057,59,0,0.00176674621608,2.22492421343e-05,4.71314473827e-06,4.89034578731e-06,1.73588963469e-05,0.219798308536,0.427561201728,4.78772097764e-06,0.215185800431,0.695707672807
2012-02-08,NKY,1.5023308699e-05,8.73025749356e-06,6.29305120541e-06,2.43720628815e-06,1.20863676802e-05,1.2126925961e-05,1.22707876823e-05,5.95223745123e-10,2.60795682049e-10,0.739519051114,7.91170927767,299,1,0.00120098361638,1.71150387087e-05,1.06109468118e-05,6.5040918969e-06,4.10685491494e-06,9.74660204272e-06,9.91464690552e-06,9.76545072035e-06,8.72907844884e-10,1.53356521126e-10,1.02982693181,8.9399250921,59,0,0.00240382458272,1.71150387087e-05,7.20039180322e-06,7.3495879884e-06,9.76545072035e-06,0.429422808412,0.380022038371,5.43967797179e-06,0.317830304936,0.877784091209
2012-02-09,NKY,2.11053593168e-05,8.8791144589e-06,1.22262448579e-05,-3.34713039898e-06,1.82310652413e-05,1.8292656678e-05,1.75853326372e-05,7.21495157112e-10,3.33531226746e-10,-0.540778706484,4.85924922748,297,2,0.00090763332495,2.98626424462e-05,1.25771765906e-05,1.72854658557e-05,-4.70828926511e-06,2.44004916877e-05,2.48211898203e-05,2.83215887404e-05,1.29462137717e-09,5.36255712047e-10,-0.807000130934,4.35519454865,59,0,0.00246086283348,2.98626424462e-05,5.04145262598e-06,1.54105370581e-06,2.83215887404e-05,0.0516047335257,0.578832428737,6.6246109631e-06,0.221836060725,0.706747882569
2012-02-10,NKY,1.61677544514e-05,7.39884332814e-06,8.76891112322e-06,-1.37006779507e-06,1.09503391827e-05,1.09870852873e-05,8.4627657384e-06,5.71217266108e-10,1.59098417333e-10,-0.18458220117,6.55576189571,299,4,0.000889660928429,1.74603132665e-05,4.52228599491e-06,1.29380272716e-05,-8.41574127671e-06,1.13935606554e-05,1.15900013564e-05,9.69530288994e-06,6.37956436346e-10,8.08075452813e-11,-1.58381704517,6.27781069142,59,0,0.00210692348565,1.74603132665e-05,5.87031191016e-06,7.76501037658e-06,9.69530288994e-06,0.444723428386,0.740996285354,4.65033782752e-06,0.266337594093,0.925971613714
2012-02-13,NKY,2.91047036238e-05,1.73708842045e-05,1.17338194192e-05,5.6370647853e-06,2.32038238185e-05,2.32819511714e-05,2.24186353124e-05,1.94613472052e-09,1.86746701964e-09,0.653810696473,6.89235745916,298,0,0.00120271560923,4.30611268986e-05,3.30918331286e-05,9.96929377e-06,2.31225393586e-05,2.80126763592e-05,2.84956535378e-05,2.20532728671e-05,7.17681392535e-09,9.70128850419e-10,2.44778587827,11.6113351047,59,0,0.00406371113503,4.30611268986e-05,1.45654733608e-05,2.10078540315e-05,2.20532728671e-05,0.487861222977,0.231514929776,1.55974942852e-05,0.362217512839,0.675892753395
2012-02-14,NKY,2.80546853475e-05,1.80502778084e-05,1.00044075391e-05,8.04587026933e-06,2.62965589049e-05,2.63848023912e-05,2.28069150838e-05,1.50099534732e-09,1.4615196929e-09,0.814579050575,5.72123512722,299,1,0.00120274775509,3.64639931458e-05,2.626241933e-05,1.02015738158e-05,1.60608455142e-05,3.37108655817e-05,3.42920874021e-05,3.41481517228e-05,2.42868416775e-09,1.71933140724e-09,1.21449029267,5.4797890984,59,0,0.00296241345623,3.64639931458e-05,2.17190574374e-06,2.31584142297e-06,3.41481517228e-05,0.0635103625023,0.279771164256,9.07349309103e-06,0.248834324172,0.769380501891
