Date,OriginDate,Code,Model,Spec,Horizon,SigmaHat,VarHat,VaR_01,VaR_025,VaR_05,ES_01,ES_025,Realized,RVProxy,Valid,Reason
2013-09-30,2013-09-27,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.01507313342,6.291253097e-05,False,predictors_unavailable
2013-10-02,2013-09-30,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.005436719009,5.809714545e-05,False,predictors_unavailable
2013-10-03,2013-10-02,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.009953566578,4.668618429e-05,False,predictors_unavailable
2013-10-04,2013-10-03,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.003273207638,5.480938778e-05,False,predictors_unavailable
2013-10-07,2013-10-04,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.007138653545,5.514552635e-05,False,predictors_unavailable
2013-10-08,2013-10-07,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.008879276725,0.0001445254282,False,predictors_unavailable
2013-10-09,2013-10-08,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.006270094908,3.021300865e-05,False,predictors_unavailable
2013-10-10,2013-10-09,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.003595499446,0.0002016594668,False,predictors_unavailable
2013-10-11,2013-10-10,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.01156702182,4.71477621e-05,False,predictors_unavailable
2013-10-15,2013-10-11,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.005077859762,3.792025437e-05,False,predictors_unavailable
2013-10-16,2013-10-15,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.0046468375,0.0001271586626,False,predictors_unavailable
2013-10-17,2013-10-16,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.005761672668,7.896525653e-05,False,predictors_unavailable
2013-10-18,2013-10-17,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.01056190945,6.983342788e-05,False,predictors_unavailable
2013-10-21,2013-10-18,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.004192158689,5.606535098e-05,False,predictors_unavailable
2013-10-22,2013-10-21,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.005225652161,3.990602469e-05,False,predictors_unavailable
2013-10-23,2013-10-22,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.01364739306,0.0001350383638,False,predictors_unavailable
2013-10-24,2013-10-23,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.007161638746,0.0001032455688,False,predictors_unavailable
2013-10-25,2013-10-24,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.006038582344,9.466831904e-05,False,predictors_unavailable
2013-10-28,2013-10-25,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.004757307312,4.265692e-05,False,predictors_unavailable
2013-10-29,2013-10-28,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.001750548088,8.223663798e-05,False,predictors_unavailable
2013-10-30,2013-10-29,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.0198262153,9.497164122e-05,False,predictors_unavailable
2013-10-31,2013-10-30,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.004199084819,5.739295396e-05,False,predictors_unavailable
2013-11-01,2013-10-31,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.001869286412,6.705827003e-05,False,predictors_unavailable
2013-11-04,2013-11-01,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.00259133163,7.164756498e-05,False,predictors_unavailable
2013-11-05,2013-11-04,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.006518499657,5.775259156e-05,False,predictors_unavailable
2013-11-06,2013-11-05,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-8.723738421e-05,6.748652412e-05,False,predictors_unavailable
2013-11-07,2013-11-06,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.006790838245,5.737101033e-05,False,predictors_unavailable
2013-11-08,2013-11-07,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.005989603547,6.356485502e-05,False,predictors_unavailable
2013-11-11,2013-11-08,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.01420800447,0.0001436273721,False,predictors_unavailable
2013-11-12,2013-11-11,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.007328065605,0.0001839371017,False,predictors_unavailable
2013-11-13,2013-11-12,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.01929202399,8.910570522e-05,False,predictors_unavailable
2013-11-14,2013-11-13,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.008215877138,6.599357523e-05,False,predictors_unavailable
2013-11-15,2013-11-14,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.01676874205,7.427614828e-05,False,predictors_unavailable
2013-11-18,2013-11-15,HSI,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.02689733482,9.05966531e-05,False,predictors_unavailable
